objectid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,filename,identifier,object_location,image_small,image_thumb
col001_1,Earl Rambo - Toll Gate,,1930,yes,Earl Rambo driving wagon through hills. Earl lived from 1895-1958 so we estimage this image dates from 1930.,men;wagons;horses;mountains;trails,,,,,Image;StillImage,image/jpg,eng,,,coll001-1.jpg,coll001-1,objects/coll001-1.jpg,objects/small/coll001-1_sm.jpg,objects/thumbs/coll001-1_th.jpg
col001_2,Earl Rambo - Winter,,1915,,Man in horse drawn buggy,men;carriages;horses,,,,,Image;StillImage,image/jpg,eng,,,coll001-2.jpg,coll001-2,objects/coll001-2.jpg,objects/small/coll001-2_sm.jpg,objects/thumbs/coll001-2_th.jpg
col001_3,Four horse riders,,1917,,"Earl Rambo, Frank Hudson, Etta Hudson, and Lissa Cleek posing for a picture",men;women;horses,,,,,Image;StillImage,image/jpg,eng,,,coll001-3.jpg,coll001-3,objects/coll001-3.jpg,objects/small/coll001-3_sm.jpg,objects/thumbs/coll001-3_th.jpg
col001_4,Creamery Stack,,1934,yes,Challenge Butter Creamery Stack,"smokestack;Challenge Butter;creamery,dairy","Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-4.jpg,coll001-4,objects/coll001-4.jpg,objects/small/coll001-4_sm.jpg,objects/thumbs/coll001-4_th.jpg
col001_5,Burial Plots at the Meridian Cemetery,,1940,yes,View of the Meridian Cemetery,cemetery;men;women;crowd;flowers;headstones,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-5.jpg,coll001-5,objects/coll001-5.jpg,objects/small/coll001-5_sm.jpg,objects/thumbs/coll001-5_th.jpg
col001_6,Horses Transport Milk Cans to the Creamery,C. Gray,1934,,Outside of Meridian Creamery,creamery;men;horses;wagons;smokestacks,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-6.jpg,coll001-6,objects/coll001-6.jpg,objects/small/coll001-6_sm.jpg,objects/thumbs/coll001-6_th.jpg
col001_7,Amos Whiteley & Family,,1886,,Amos Whiteley as a child with his parents outside their home,men;women;children;homesteads,,,,,Image;StillImage,image/jpg,eng,,,coll001-7.jpg,coll001-7,objects/coll001-7.jpg,objects/small/coll001-7_sm.jpg,objects/thumbs/coll001-7_th.jpg
col001_8,Creamery Workers Perform Maintenance,C. Gray,1934,,Worker outside Meridian Creamery,creamery;men;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-8.jpg,coll001-8,objects/coll001-8.jpg,objects/small/coll001-8_sm.jpg,objects/thumbs/coll001-8_th.jpg
col001_9,M.M. Louderbough & Son Hardware Store,C. Gray,1920,yes,Storefront of local hardware store,stores;storefronts;hardware;automobiles,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-9.jpg,coll001-9,objects/coll001-9.jpg,objects/small/coll001-9_sm.jpg,objects/thumbs/coll001-9_th.jpg
col001_10,Meridian Grade School,,1904,,Children playing outside Meridian Grade School,school;children;teachers;playgrounds;school yards,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-10.jpg,coll001-10,objects/coll001-10.jpg,objects/small/coll001-10_sm.jpg,objects/thumbs/coll001-10_th.jpg
col001_12,Peggy,,1946,,Young woman outside storefront with dog,women;dogs;storefronts;stores;pharmacies;automobiles,,,,,Image;StillImage,image/jpg,eng,,,coll001-12.jpg,coll001-12,objects/coll001-12.jpg,objects/small/coll001-12_sm.jpg,objects/thumbs/coll001-12_th.jpg
col001_13,Ada County Dairymen's Association,C. Gray,1930,yes,Outside the Ada County Dairymen's Association,dairymen;Challenge Butter;milk cans;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-13.jpg,coll001-13,objects/coll001-13.jpg,objects/small/coll001-13_sm.jpg,objects/thumbs/coll001-13_th.jpg
col001_14,Fletcher Oil Co.,C. Gray,1933,,Small oil company in Meridian,oil;Fletcher Oil Company;buildings,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-14.jpg,coll001-14,objects/coll001-14.jpg,objects/small/coll001-14_sm.jpg,objects/thumbs/coll001-14_th.jpg
col001_15,Meridian Street Scene,Unknown,1920,,Ida & E. 2nd Street scene,crowd;men;women;storefronts;streets,"Meridian, Idaho",43.611034,-116.390124,,Image;StillImage,image/jpg,eng,,,coll001-15.jpg,coll001-15,objects/coll001-15.jpg,objects/small/coll001-15_sm.jpg,objects/thumbs/coll001-15_th.jpg
col001_16,Meridian Creamery Smokestack,Unknown,1934,,The new smoke stack for the creamery,creamery;smokestack;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-16.jpg,coll001-16,objects/coll001-16.jpg,objects/small/coll001-16_sm.jpg,objects/thumbs/coll001-16_th.jpg
col001_17,Rural High School Gym,Unknown,,,Outside of the rural high school's gym,schools;gym;buildings;construction,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-17.jpg,coll001-17,objects/coll001-17.jpg,objects/small/coll001-17_sm.jpg,objects/thumbs/coll001-17_th.jpg
col001_18,Meridian Cemetery,C. Gray,1936,,View inside the cemetery,cemeteries;headstones;trees,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-18.jpg,coll001-18,objects/coll001-18.jpg,objects/small/coll001-18_sm.jpg,objects/thumbs/coll001-18_th.jpg
col001_19,Swede Boice in front of Bus,,1946,,Photograph of Swede Boice in front of a bus,Swede Boice;buses;Pacific Transit;men,,,,,Image;StillImage,image/jpg,eng,,,coll001-19.jpg,coll001-19,objects/coll001-19.jpg,objects/small/coll001-19_sm.jpg,objects/thumbs/coll001-19_th.jpg
col001_20,Side View of the Meridian Creamery,C. Gray,1934,,Man exiting the side of the Meridian Creamery,creamery;men;smokestacks,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-20.jpg,coll001-20,objects/coll001-20.jpg,objects/small/coll001-20_sm.jpg,objects/thumbs/coll001-20_th.jpg
col001_21,"Main & Broadway, N.E. Corner",C. Gray,1920,yes,View of store fronts off Main & Broadway. M.M. Louderbough & Son and Gamble Store.,hardware;stores;storefronts;ice cream,"Meridian, Idaho",43.609547,-116.392696,,Image;StillImage,image/jpg,eng,,,coll001-21.jpg,coll001-21,objects/coll001-21.jpg,objects/small/coll001-21_sm.jpg,objects/thumbs/coll001-21_th.jpg
col001_22,Bank & Biddles,C. Gray,1920,yes,"Slightly obscured view of a building, truck, and men working on the second floor",stores;storefronts;automobiles;buildings;men;construction,,,,,Image;StillImage,image/jpg,eng,,,coll001-22.jpg,coll001-22,objects/coll001-22.jpg,objects/small/coll001-22_sm.jpg,objects/thumbs/coll001-22_th.jpg
col001_23,Horse Approaches the Meridian Creamery,C. Gray,1930,yes,"Shot outside the creamery, showing a horse in the background",creamery;horses;smokestacks;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-23.jpg,coll001-23,objects/coll001-23.jpg,objects/small/coll001-23_sm.jpg,objects/thumbs/coll001-23_th.jpg
col001_24,Good Friends,,1947,,Two women get their photo taken,women;candid,,,,,Image;StillImage,image/jpg,eng,,,coll001-24.jpg,coll001-24,objects/coll001-24.jpg,objects/small/coll001-24_sm.jpg,objects/thumbs/coll001-24_th.jpg
col001_25,Meridian Creamery Workers,C. Gray,1934,,Men working at the creamery,creamery;men;construction;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-25.jpg,coll001-25,objects/coll001-25.jpg,objects/small/coll001-25_sm.jpg,objects/thumbs/coll001-25_th.jpg
col001_26,Alice's Father-In-law's Place,,1910,yes,Outside shot of a home,houses;buildings;streets,,,,,Image;StillImage,image/jpg,eng,,,coll001-26.jpg,coll001-26,objects/coll001-26.jpg,objects/small/coll001-26_sm.jpg,objects/thumbs/coll001-26_th.jpg
col001_28,Exchange Bank,,1920,yes,Two pictures of the exchange bank on E. 2nd & Broadway and a sale with a crowd,buildings;crowds;exchange bank;banks;sale,"Meridian, Idaho",43.610098,-116.390129,,Image;StillImage,image/jpg,eng,,,coll001-28.jpg,coll001-28,objects/coll001-28.jpg,objects/small/coll001-28_sm.jpg,objects/thumbs/coll001-28_th.jpg
col001_29,Single Smokestack in front of the Meridian Creamery,,1934,,Copy of the new smoke stack,creamery;smokestacks;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-29.jpg,coll001-29,objects/coll001-29.jpg,objects/small/coll001-29_sm.jpg,objects/thumbs/coll001-29_th.jpg
col001_30,Meridian Sale,C. Gray,1920,yes,Sale happening in town,crowds;men;women;sale,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-30.jpg,coll001-30,objects/coll001-30.jpg,objects/small/coll001-30_sm.jpg,objects/thumbs/coll001-30_th.jpg
col001_31,Side View of the Meridian Creamery with Smokestacks,,1934,,Exterior shot of the creamery,creamery;buildings;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-31.jpg,coll001-31,objects/coll001-31.jpg,objects/small/coll001-31_sm.jpg,objects/thumbs/coll001-31_th.jpg
col001_32,Construction Outside Creamery,,1930,yes,Workers constructing an addition to the creamery,construction;creamery;men;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-32.jpg,coll001-32,objects/coll001-32.jpg,objects/small/coll001-32_sm.jpg,objects/thumbs/coll001-32_th.jpg
col001_33,Memorial Day at the Meridian Cemetery,,1920,yes,Parade for Memorial Day at the cemetery,parades;men;military;cemeteries;Memorial Day;soldiers,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-33.jpg,coll001-33,objects/coll001-33.jpg,objects/small/coll001-33_sm.jpg,objects/thumbs/coll001-33_th.jpg
col001_34,Starting the basement of Alice's House,,1934,yes,Men working on the basement for Alice's house,houses;buildings;construction;basement;horses;wagons,,,,,Image;StillImage,image/jpg,eng,,,coll001-34.jpg,coll001-34,objects/coll001-34.jpg,objects/small/coll001-34_sm.jpg,objects/thumbs/coll001-34_th.jpg
col001_35,Meridian Drug Center (Swede's),,1947,,Storefront of Meridian Drug Center,stores;storefronts;pharmacies;drugs;Greyhound,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-35.jpg,coll001-35,objects/coll001-35.jpg,objects/small/coll001-35_sm.jpg,objects/thumbs/coll001-35_th.jpg
col001_36,Union Pacific Train Passes the Meridian Creamery,C. Gray,1937,yes,Outside of the Meridian Creamery,creamery;smokestacks;dairy;Union Pacific;buildings,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-36.jpg,coll001-36,objects/coll001-36.jpg,objects/small/coll001-36_sm.jpg,objects/thumbs/coll001-36_th.jpg
col001_37,Automobile Parked In front of Grocery Store,,1933,yes,Car outside Biddles grocery store,automobiles;grocery stores;stores;storefronts;streets,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-37.jpg,coll001-37,objects/coll001-37.jpg,objects/small/coll001-37_sm.jpg,objects/thumbs/coll001-37_th.jpg
col001_38,Corner of Broadway,,1920,yes,The Corner of Broadway,stores;storefronts;streets,"Meridian, Idaho",43.610123,-116.391593,,Image;StillImage,image/jpg,eng,,,coll001-38.jpg,coll001-38,objects/coll001-38.jpg,objects/small/coll001-38_sm.jpg,objects/thumbs/coll001-38_th.jpg
col001_39,Multiple Horses wait in front of the Meridian Creamery,,1934,yes,Making the new boiler room for the creamery,creamery;horses;automobiles;milk cans;dairy;smokestacks;men;building,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-39.jpg,coll001-39,objects/coll001-39.jpg,objects/small/coll001-39_sm.jpg,objects/thumbs/coll001-39_th.jpg
col001_40,Horse Teams Plow behind the Meridian Creamery,C. Gray,1934,yes,Picture taken at the creamery.,creamery;horses;automobiles;milk cans;dairy;smokestacks;men;buildings,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-40.jpg,coll001-40,objects/coll001-40.jpg,objects/small/coll001-40_sm.jpg,objects/thumbs/coll001-40_th.jpg
col001_41,Men posing in front of the Old Boiler,E.G. Millikan,1934,yes,Three men pose in front the the old boiler at the Meridian Creamery.,men;boilers;creamery;buildings;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-41.jpg,coll001-41,objects/coll001-41.jpg,objects/small/coll001-41_sm.jpg,objects/thumbs/coll001-41_th.jpg
col001_43,Mr. Matthews,,1945,yes,Mr. Matthews posing by a movie poster.,men;movie posters;streets;Matthews,,,,,Image;StillImage,image/jpg,eng,,,coll001-43.jpg,coll001-43,objects/coll001-43.jpg,objects/small/coll001-43_sm.jpg,objects/thumbs/coll001-43_th.jpg
col001_44,Challenge Butter Advertisement on Smokestack,,1934,yes,View of the smoke stack with Challenger logo.,creamery;smokestacks;Challenge Butter;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-44.jpg,coll001-44,objects/coll001-44.jpg,objects/small/coll001-44_sm.jpg,objects/thumbs/coll001-44_th.jpg
col001_45,"""Sincerely Yours"" - Dorothy",Burns Studio,1923,yes,"Young woman, Dorothy, posing for a photo.  Burns Studio operated in Idaho from 1919-2013. ",women;portraits,"Boise, Idaho",,,,Image;StillImage,image/jpg,eng,,,coll001-45.jpg,coll001-45,objects/coll001-45.jpg,objects/small/coll001-45_sm.jpg,objects/thumbs/coll001-45_th.jpg
col001_46,Fourth and Fifth Graders from 1913-1914,,1913-1914,,Pictures taken in 1913-1914 of two class grades at a Meridian grade school.,grade schools;schools;school grades;children;boys;girls;teachers,"Meridian, Idaho",43.6121,-116.3915,The Meridian Times,Image;StillImage,image/jpg,eng,,,coll001-46.jpg,coll001-46,objects/coll001-46.jpg,objects/small/coll001-46_sm.jpg,objects/thumbs/coll001-46_th.jpg
col001_47,The Daly Brothers,,1919,yes,Reproduction of the Daly brothers.,brothers;men;Daly;portrait,,,,,Image;StillImage,image/jpg,eng,,,coll001-47.jpg,coll001-47,objects/coll001-47.jpg,objects/small/coll001-47_sm.jpg,objects/thumbs/coll001-47_th.jpg
col001_50,Ribbon Cutting for the Library,,1971,,Meridian Mayor Dan Storey & Librarian Nang Soze.,libraries;men;women;ribbon;books,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-50.jpg,coll001-50,objects/coll001-50.jpg,objects/small/coll001-50_sm.jpg,objects/thumbs/coll001-50_th.jpg
col001_51,Idaho Street,,1900,,Looking west on Idaho Street.,streets;automobiles;stores;storefronts;men;women;dogs,"Meridian, Idaho",43.60913,-116.39156,,Image;StillImage,image/jpg,eng,,,coll001-51.jpg,coll001-51,objects/coll001-51.jpg,objects/small/coll001-51_sm.jpg,objects/thumbs/coll001-51_th.jpg
col001_52,Swede Boice in front of Automobile,,1945-5-28,,Picture of Swede Boice in 1945.,Swede Boice;automobiles;stores;streets;men,,,,,Image;StillImage,image/jpg,eng,,,coll001-52.jpg,coll001-52,objects/coll001-52.jpg,objects/small/coll001-52_sm.jpg,objects/thumbs/coll001-52_th.jpg
col001_53,Parade Float for University of Idaho,,1950,yes,Parade float of Idaho for University of Idaho.,parades;Idaho;University of Idaho;music;floats,"Meridian, Idaho",43.6121,,,Image;StillImage,image/jpg,eng,,,coll001-53.jpg,coll001-53,objects/coll001-53.jpg,objects/small/coll001-53_sm.jpg,objects/thumbs/coll001-53_th.jpg
col001_54,Several Men pose in Automobile,,1910-1920,yes,"Car in the middle of a field with five people. One outside the car, two up front, two in back.",men;women;automobiles;fields,,,,,Image;StillImage,image/jpg,eng,,,coll001-54.jpg,coll001-54,objects/coll001-54.jpg,objects/small/coll001-54_sm.jpg,objects/thumbs/coll001-54_th.jpg
col001_55,Meridian Hotel & Super Service Station,,1920,yes,Broadway & E. 1st (Service Station) and E. 1st & Idaho (Hotel).,Super Service Station;people;men;women;children;automobiles;stores;storefronts;service stations,"Meridian, Idaho",43.610112,-116.391586,,Image;StillImage,image/jpg,eng,,,coll001-55.jpg,coll001-55,objects/coll001-55.jpg,objects/small/coll001-55_sm.jpg,objects/thumbs/coll001-55_th.jpg
col001_56,Super Service Station and Blacksmith Shop,,1920,yes,"Close up shot of the service station, Broadway & E. 1st (Main St.), blacksmith shop in the back.",Super Service Station;people;blacksmiths;men;women;children;automobiles;service stations,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-56.jpg,coll001-56,objects/coll001-56.jpg,objects/small/coll001-56_sm.jpg,objects/thumbs/coll001-56_th.jpg
col001_57,Hedges Mercantile,,1910,,"Shot of people outside Hedges mercantile, Idaho St.",stores;storefronts;mercantiles;people;men;women;children,"Meridian, Idaho",43.610873,-116.388667,,Image;StillImage,image/jpg,eng,,,coll001-57.jpg,coll001-57,objects/coll001-57.jpg,objects/small/coll001-57_sm.jpg,objects/thumbs/coll001-57_th.jpg
col001_58,Fourth Graders in school,,1902,,Shot inside Meridian School.,children;schools;grade schools;Meridian School;boys;girls;teachers;chalkboards,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-58.jpg,coll001-58,objects/coll001-58.jpg,objects/small/coll001-58_sm.jpg,objects/thumbs/coll001-58_th.jpg
col001_59,Meridian High Football Team,,1907,,Picture of the MHS football team.,boys;men;football;portraits,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-59.jpg,coll001-59,objects/coll001-59.jpg,objects/small/coll001-59_sm.jpg,objects/thumbs/coll001-59_th.jpg
col001_60,Catherine Harris,,1960,,Catherine Harris poses as she's 101 years old.,Catherine Harris;women;portraits,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-60.jpg,coll001-60,objects/coll001-60.jpg,objects/small/coll001-60_sm.jpg,objects/thumbs/coll001-60_th.jpg
col001_61,Meridian City Officials,,1958,yes,"City officials all together, councilmen, police, and fire.",men;police;firefighters;councilmen,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-61.jpg,coll001-61,objects/coll001-61.jpg,objects/small/coll001-61_sm.jpg,objects/thumbs/coll001-61_th.jpg
col001_62,Meridian Dairy Show Board Members '58,,1958,,Board members (including Herald Cox) posing with Dairy Show derby hats.,dairy;Dairy Days;men;board members;derby hats,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-62.jpg,coll001-62,objects/coll001-62.jpg,objects/small/coll001-62_sm.jpg,objects/thumbs/coll001-62_th.jpg
col001_63,Meridian Dairy Show Board Members '56,Horton Studio,1956,,Board members posing for their picture.,dairy;Dairy Days;men;board members,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-63.jpg,coll001-63,objects/coll001-63.jpg,objects/small/coll001-63_sm.jpg,objects/thumbs/coll001-63_th.jpg
col001_64,Meridian Exchange Bank - Teller's Cage,,1907,,"Inside the exchange bank, the picture shows the teller's cage and three gentleman.",exchange bank;bank;men;business;building,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-64.jpg,coll001-64,objects/coll001-64.jpg,objects/small/coll001-64_sm.jpg,objects/thumbs/coll001-64_th.jpg
col001_66,Quilter's Club,,1940,,Copy of the ladies working on a quilt.,women;quilts;quilting;houses;quilters,,,,,Image;StillImage,image/jpg,eng,,,coll001-66.jpg,coll001-66,objects/coll001-66.jpg,objects/small/coll001-66_sm.jpg,objects/thumbs/coll001-66_th.jpg
col001_67,3 Friends,,1950,yes,"3 older friends who are posing for a photo, one of them being Catherine Harris.",Catherine Harris;women;men;portraits;Horton Studio,,,,,Image;StillImage,image/jpg,eng,,,coll001-67.jpg,coll001-67,objects/coll001-67.jpg,objects/small/coll001-67_sm.jpg,objects/thumbs/coll001-67_th.jpg
col001_68,Quilter's Club Displaying Quilt,,1940,,Another copy of the ladies working on a quilt.,women;quilts;quilting;houses;quilters,,,,,Image;StillImage,image/jpg,eng,,,coll001-68.jpg,coll001-68,objects/coll001-68.jpg,objects/small/coll001-68_sm.jpg,objects/thumbs/coll001-68_th.jpg
col001_69,Occident Club Tea,,1950,yes,Ladies from the Occident Club having tea.,Occident Club;tea;parties;women;clubs,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-69.jpg,coll001-69,objects/coll001-69.jpg,objects/small/coll001-69_sm.jpg,objects/thumbs/coll001-69_th.jpg
col001_70,Horse Drawn Wagon to Yellowstone,,1940,yes,Horse Drawn Wagon on its way to Yellowstone. Telephone pole indicates a slightly later time period - perhaps a reenactment?,wagons;horses;trails;mountains;children;men;Yellowstone,,,,,Image;StillImage,image/jpg,eng,,,coll001-70.jpg,coll001-70,objects/coll001-70.jpg,objects/small/coll001-70_sm.jpg,objects/thumbs/coll001-70_th.jpg
col001_71,Town Across the Railroad Track,,1920,yes,View of Meridian across a railroad track. Hayden Pharmacy is seen in the background.,trains;train tracks;city;Meridian;stores;storefronts,"Meridian, Idaho",43.608603,-116.391575,,Image;StillImage,image/jpg,eng,,,coll001-71.jpg,coll001-71,objects/coll001-71.jpg,objects/small/coll001-71_sm.jpg,objects/thumbs/coll001-71_th.jpg
col001_80,Group Photo,,1980,yes,Color image of a large group of Meridian residents - occasion is unknown. Names were updated in 1989.,men;women;portraits,,,,,Image;StillImage,image/jpg,eng,,,coll001-80.jpg,coll001-80,objects/coll001-80.jpg,objects/small/coll001-80_sm.jpg,objects/thumbs/coll001-80_th.jpg
col001_81,Grain Silo,,1940,yes,Picture of the old grain silo.,grain silos;silos;farming;men;construction,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-81.jpg,coll001-81,objects/coll001-81.jpg,objects/small/coll001-81_sm.jpg,objects/thumbs/coll001-81_th.jpg